nummer	hoofdstuk	Naam_indicator	eigenaar	type	kwadrant	schaal
52	Vermesting en verzuring	overschrijding kritische lasten verzuring	VMM	indicator	geen	ecosysteem
53	Vermesting en verzuring	Evolutie van de nitraatconcentratie in het oppervlaktewater tussen 2007 en 2019	VMM	indicator	geen	ecosysteem
54	Vermesting en verzuring	Evolutie van de fosforconcentratie in het oppervlaktewater tussen 2007 en 2019 	VMM	indicator	geen	ecosysteem
55	Vermesting en verzuring	multisoortenindex voor flora gebaseerd op de kans op voorkomen van 88 soorten van stikstofarme milieus, 208 soorten van matig stikstofrijke milieus en 151 soorten van stikstofrijke milieus tussen 1950 en 2018 in Vlaanderen	WWF	indicator	samenstelling	soort
56	Vermesting en verzuring	multisoortenindex voor flora gebaseerd op de kans op voorkomen van 46 soorten van zure milieus, 112 soorten van matig zure milieus en 201 soorten van (matig) basische milieus tussen 1950 en 2018 in Vlaanderen	WWF	indicator	samenstelling	soort
57	Verdroging	maximale waarde van het cumulatief neerslagtekort tussen 1901 en 	VMM	indicator	geen	geen
58	Verdroging	watergebruik in Vlaanderen, exclusief koelwater en scheepvaart tussen 2000 en 2018 	VMM	indicator	geen	geen
59	Verdroging	gemiddeld aantal dagen per jaar dat het grondwaterpeil op 58 meetlocaties onder een kritische minimumdrempel daalt (1985-2018): 	INBO	indicator	geen	geen
60	Verdroging	totale afvoer, de basisafvoer en de oppervlakkige afvoer ter hoogte van 15 meetpunten in onbevaarbare waterlopen op Vlaams grondgebied (1990-2017) 	VMM	indicator	geen	geen
61	Invasieve uitheemse soorten	aandeel uitheemse plantensoorten binnen de globale plantensamenstelling in Vlaanderen 	INBO	indicator	samenstelling	soort
62	Invasieve uitheemse soorten	cumulatief aantal uitheemse diersoorten in terrestrische, zoetwater, estuariene en mariene ecosystemen binnen Vlaanderen tussen 1950 en 2020 	INBO	indicator	samenstelling	soort
63	Invasieve uitheemse soorten	mate van verspreiding van de Unielijstsoorten in Vlaanderen voor het in werking treden van de Europese Verordening betreffende de preventie en beheersing van de introductie en verspreiding van invasieve uitheemse soorten (2000-datum oplijsting) en tijdens de eerste rapporteringsperiode in het kader van de verordening (januari 2015-december 2018 	INBO	indicator	samenstelling	soort
64	Invasieve uitheemse soorten	aantal introducties van uitheemse soorten in Vlaanderen tussen 1950 en 2019 via de verschillende introductiemechanismen 	INBO	indicator	geen	geen
65	Klimaatverandering	evolutie van de jaargemiddelde temperatuur in Ukkel tussen 1833 en 2019, uitgedrukt als afwijking ten opzichte van het jaargemiddelde in de periode 1850-1899	VMM	indicator	geen	geen
66	Klimaatverandering	evolutie van het aantal dagen met zware neerslag (een neerslaghoeveelheid van 20 mm of meer) in Ukkel, tussen 1892 en 2019	VMM	indicator	geen	geen
67	Klimaatverandering	aantal waargenomen Zuid-Europese libellensoorten in Vlaanderen tussen 1984 en 2019	INBO	indicator	samenstelling	soort
68	Klimaatverandering	Living planet index voor vlinders, libellen en vogels in Vlaanderen, op basis van 78 soorten, opgedeeld in warmteminnende en koudeminnende soorten	WWF	indicator	samenstelling	soort
69	Klimaatverandering	multisoortenindex voor flora gebaseerd op de kans op voorkomen van 385 vaatplanten in Vlaanderen, opgedeeld per temperatuurvoorkeur volgens Ellenberg	INBO	indicator	samenstelling	soort
70	Klimaatverandering	timing van de jaarlijkse piek van stuifmeelconcentratie in de lucht voor berk en grassen, waargenomen in Elsene tussen 1975 en 2019	INBO/KMI	indicator	functies	soort
71	Druk op de biodiversiteit wereldwijd	broeikasgasemissies in Vlaanderen versus de evolutie van de koolstofvoetafdruk (i.e. alle broeikasgasemissies binnen én buiten Vlaanderen) van de Vlaamse consumptie	VMM	indicator	voorraad	landschap
72	Druk op de biodiversiteit wereldwijd	biodiversiteitsvoetafdruk import en export	INBO	analyse	voorraad	landschap
73	Druk op de biodiversiteit wereldwijd	aandeel van de totale impact van de Belgische consumptie op de biodiversiteit per land van herkomst van de geconsumeerde producten en diensten en per drukfactor 	INBO	analyse	voorraad	landschap
74	Druk op de biodiversiteit wereldwijd	impact van de Belgische consumptie op de biodiversiteit wereldwijd per consumptiesector 	INBO	analyse	voorraad	landschap
75	Druk op de biodiversiteit wereldwijd	deel van de landvoetafdruk gelegen in landen met een hoog tot zeer hoog risico op ontbossing.	WWF/INBO	analyse	voorraad	landschap
76	Druk op de biodiversiteit wereldwijd	impact van de Belgische consumptie van 7 product(groep)en op de biodiversiteit in de 20 meest getroffen landen, uitgedrukt in mondiale PDF (potentially disappeared fraction of species) en herschaald naar een cijfer tussen 0 en 100 	WWF/INBO	analyse	voorraad	landschap
77	Druk op de biodiversiteit wereldwijd	Evolutie van de Belgische officiële ontwikkelingshulp (ODA) met biodiversiteit als hoofd- of significant nevendoel tussen 2010 en 2017 	FOD/INBO	indicator	geen	landschap
78	Bos	bosindex van Europese landen en 9 regio’s die qua bevolkingsdichtheid, welvaartspeil en oppervlakte vergelijkbaar zijn met Vlaanderen 	EFI_Europe	analyse	voorraad	ecosysteem
79	Bos	bosoppervlakte per provincie in beide periodes van de bosinventaris	ANB	indicator	voorraad	ecosysteem
80	Bos	gemiddeld aantal boomsoorten per PNV-hoofdtype in de vegetatieopnames van de Vlaamse bosinventaris 	INBO	indicator	samenstelling	soort
81	Bos	gemiddeld aantal kruidachtigen per PNV-hoofdtype in de vegetatieopnames van de Vlaamse bosinventaris 	INBO	indicator	samenstelling	soort
82	Bos	gemiddelde soortenrijkdom van oud-bosplanten in oude (voor 1850) en recente (na 1850) bossen in de vegetatieopnames van de Vlaamse bosinventaris 	INBO	indicator	samenstelling	soort
83	Bos	index van de aantallen van broedvogels van bosgebieden in Vlaanderen tussen 2008 en 2019	INBO	indicator	samenstelling	soort
84	Bos	aantal bezette kilometerhokken van 3 typische bosvlindersoorten in Vlaanderen tussen 2009 en 2019	KUL/NP	indicator	samenstelling	soort
85	Bos	gemiddelde van de functionele diversiteit (FDis = functionele dispersie - Laliberté & Legendre, 2010) van bomen per PNV-hoofdtype in de bosbouwproefvlakken van de Vlaamse bosinventaris (VBI). 	INBO	indicator	functies	ecosysteem
86	Bos	gemiddelde van de totaalscore en deelscores van de authenticiteitsindex voor de verschillende bestandtypes in de Vlaamse bosinventaris 	INBO	indicator	functies	ecosysteem
87	Bos	percentage beschadigde bomen in het bosvitaliteitsmeetnet tussen 1987 en 2019	INBO	indicator	functies	ecosysteem
88	Bos	staat van instandhouding van boshabitats van Europees belang (oppervlakte  en areaal)	INBO	analyse	voorraad	ecosysteem
89	Bos	staat van instandhouding van boshabitats van Europees belang (ruimtelijke samenhang)	INBO	analyse	samenstelling	ecosysteem
90	Bos	staat van instandhouding  van boshabitats van Europees belang (habitattypische soorten)	INBO	analyse	structuur	ecosysteem
91	Bos	versnippering van bos op basis van de Boswijzer 2.0 (aandeel randhabitat)	INBO	indicator	structuur	ecosysteem
92	Bos	versnippering van bos - oppervlakteverdeling bos	INBO	indicator	voorraad	ecosysteem
93	Bos	relatie tussen de versnipperingsgraad en de gemiddelde soortenrijkdom van kruidachtigen in de kruidlaag van de Vlaamse bosinventaris 	INBO	analyse	samenstelling	ecosysteem
94	Bos	overschrijding kritische lasten stikstof bij bos	INBO	indicator	geen	geen
95	Bos	gemiddelde stikstofconcentratie in bladeren en naalden tussen 1995 en 2017 in de proefvlakken van het langetermijnmeetnet in bossen 	INBO	indicator	functies	ecosysteem
96	Bos	gemiddelde Ellenbergwaarde voor stikstof en op basis van de vegetatieopnames  van de bosinventaris	INBO	indicator	functies	ecosysteem
97	Bos	trend bladontwikkeling van eik en beuk	INBO	indicator	functies	soort
98	Bos	gemiddeld bestandsvolume in private en publieke bossen	INBO	indicator	voorraad	ecosysteem
99	Bos	oppervlakte bos met planologische bestemming bos	INBO	indicator	voorraad	ecosysteem
100	Bos	oppervlakte zonevreemd bos	INBO	analyse	voorraad	ecosysteem
101	Bos	oppervlakte bos met beheeplan	ANB	indicator	voorraad	ecosysteem
102	Heide	Oppervlakte van de vegetatietypes van heide in 2010 en 2019 op basis van de Biologische Waarderingskaart	INBO	indicator	voorraad	ecosysteem
103	Heide	Multisoortenindex voor heideplanten in de periode 1950-2018 in Vlaanderen	INBO	indicator	samenstelling	soort
104	Heide	rode Lijst-status van planten- en diersoorten gebonden aan heide	INBO	analyse	samenstelling	ecosysteem
105	Heide	staat van instandhouding van heidehabitats van Europees belang (oppervlakte  en areaal)	INBO	analyse	voorraad	ecosysteem
106	Heide	staat van instandhouding van heidehabitats van Europees belang (ruimtelijke samenhang)	INBO	analyse	samenstelling	ecosysteem
107	Heide	staat van instandhouding  van heidehabitats van Europees belang (habitattypische soorten)	INBO	analyse	structuur	ecosysteem
108	Heide	Overzicht van de drukfactoren en bedreigingen voor heidehabitats van Europees belang	INBO	analyse	geen	geen
109	Heide	dekking van het ecosysteem heide (in hectare en %) door verschillende vormen van natuur- en bosbeheer, juridische en planologische bescherming 	INBO	analyse	voorraad	ecosysteem
110	Heide	aandeel van heidehabitat van Europees belang binnen habitatrichtlijngebied	INBO	analyse	voorraad	ecosysteem
111	Moeras	Oppervlakte van de vegetatietypes van moeras in 2010 en 2019 op basis van de Biologische Waarderingskaart	INBO	indicator	voorraad	ecosysteem
112	Moeras	Multisoortenindex voor moerasplanten in de periode 1950-2018 in Vlaanderen	INBO	indicator	samenstelling	ecosysteem
113	Moeras	rode Lijst-status van planten- en diersoorten gebonden aan moeras	INBO	analyse	samenstelling	soort
114	Moeras	staat van instandhouding van moerashabitats van Europees belang (oppervlakte  en areaal)	INBO	analyse	voorraad	ecosysteem
115	Moeras	staat van instandhouding van moerashabitats van Europees belang (ruimtelijke samenhang)	INBO	analyse	samenstelling	ecosysteem
116	Moeras	staat van instandhouding  van moerashabitats van Europees belang (habitattypische soorten)	INBO	analyse	structuur	ecosysteem
117	Moeras	Overzicht van de drukfactoren en bedreigingen voor moerashabitats van Europees belang	INBO	analyse	geen	geen
118	Moeras	dekking van het ecosysteem moeras (in hectare en %) door verschillende vormen van natuur- en bosbeheer, juridische en planologische bescherming 	INBO	analyse	voorraad	ecosysteem
119	Moeras	aandeel van moerashabitat van Europees belang binnen habitatrichtlijngebied	INBO	analyse	voorraad	ecosysteem
120	Kustduinen	Oppervlakte van de vegetatietypes van kustduinen en strand in 2010 en 2019 op basis van de Biologische Waarderingskaart	INBO	indicator	voorraad	ecosysteem
121	Kustduinen	rode Lijst-status van planten- en diersoorten gebonden aan strand en duinen	INBO	analyse	samenstelling	ecosysteem
122	Kustduinen	staat van instandhouding van strand- en kustduinhabitats van Europees belang (oppervlakte  en areaal)	INBO	analyse	voorraad	ecosysteem
123	Kustduinen	staat van instandhouding van strand- en kustduinhabitats van Europees belang (ruimtelijke samenhang)	INBO	analyse	samenstelling	ecosysteem
124	Kustduinen	staat van instandhouding  van strand- en kustduinhabitats van Europees belang (habitattypische soorten)	INBO	analyse	structuur	ecosysteem
125	Kustduinen	Overzicht van de drukfactoren en bedreigingen voor strand- en kustduinhabitats van Europees belang	INBO	analyse	geen	geen
126	Kustduinen	dekking van het ecosysteem strand en kustduinen (in hectare en %) door verschillende vormen van natuur- en bosbeheer, juridische en planologische bescherming 	INBO	analyse	voorraad	ecosysteem
127	Kustduinen	aandeel van strand- en kustduinhabitat van Europees belang binnen habitatrichtlijngebied	INBO	analyse	voorraad	ecosysteem
128	Agroecosystemen	oppervlakte van agro-ecosystemen in Vlaanderen in 2013 en 2016 	INBO	indicator	voorraad	ecosysteem
129	Agroecosystemen	high Nature Value farmland per landgebruiksklasse in 2013 en 2016 	INBO	indicator	voorraad	ecosysteem
130	Agroecosystemen	minimale en maximale inschatting van de grasleeftijd van geregistreerde cultuurgraslanden in 2018 	INBO	indicator	functies	ecosysteem
131	Agroecosystemen	broedvogels in agro-ecosystemen voor de periode 2008 – 2019	INBO	indicator	samenstelling	ecosysteem
132	Agroecosystemen	mulltisoortindex voor akkerlandflora in de periode 1950-2018 	INBO	indicator	samenstelling	soort
133	Agroecosystemen	mulltisoortindex voor graslandflora in de periode 1950-2018 	INBO	indicator	samenstelling	soort
134	Agroecosystemen	staat van instandhouding van graslanden van Europees belang (oppervlakte  en areaal)	INBO	analyse	voorraad	ecosysteem
135	Agroecosystemen	staat van instandhouding van graslanden van Europees belang (ruimtelijke samenhang)	INBO	analyse	samenstelling	ecosysteem
136	Agroecosystemen	staat van instandhouding  van graslanden van Europees belang (habitattypische soorten)	INBO	analyse	structuur	ecosysteem
137	Agroecosystemen	Intensiteit van de landbouwproductie in de periode 1980-2018	STATBEL	indicator	structuur	ecosysteem
138	Agroecosystemen	koolstofgehalte in de bodem van agro-ecosystemen	diverse	analyse	voorraad	ecosysteem
139	Agroecosystemen	natuurbescherming en beheer van halfnatuurlijk gras	INBO	analyse	voorraad	ecosysteem
140	Agroecosystemen	oppervlakte natuurbeheer in agro-ecosysteem	INBO	analyse	voorraad	ecosysteem
141	Agroecosystemen	oppervlakte en lengte van natuurgerichte beheerovereenkomsten in agro-ecosystemen	VLM	indicator	structuur	ecosysteem
142	Oppervlaktewateren	Multisoortindex voor plantensoorten van aquatische systemen in de periode 1950-2018 	INBO	indicator	samenstelling	soort
143	Oppervlaktewateren	Living planet index voor amfibiesoorten in de periode 1990-2018 in Vlaanderen	WWF	indicator	samenstelling	soort
144	Oppervlaktewateren	goede ecologische toestand van rivieren, meren en estuaria	INBO	indicator	functies	ecosysteem
145	Oppervlaktewateren	goede ecologische toestand fytobenthos voor periode 2007-2012 en periode 2013-2018	INBO	indicator	functies	soort
146	Oppervlaktewateren	goede ecologische toestand fytoplankton voor periode 2007-2012 en periode 2013-2018	INBO	indicator	functies	soort
147	Oppervlaktewateren	goede ecologische toestand macrofyten voor periode 2007-2012 en periode 2013-2018	INBO	indicator	functies	soort
148	Oppervlaktewateren	goede ecologische toestand macro-invertebraten voor periode 2007-2012 en periode 2013-2018	INBO	indicator	functies	soort
149	Oppervlaktewateren	goede ecologische toestand vis voor periode 2007-2012 en periode 2013-2018	INBO	indicator	functies	soort
150	Oppervlaktewateren	aandeel migrerende vissen per meetplaats in beken en rivieren	INBO	indicator	functies	soort
151	Oppervlaktewateren	estuariene habitatoppervlakte van ondiep water, slik en schor in de periode 2010-2016	INBO	indicator	voorraad	ecosysteem
152	Oppervlaktewateren	watervogels in het Schelde-estuarium tussen 1993 en 2016	INBO	indicator	voorraad	soort
153	Oppervlaktewateren	staat van instandhouding van meren van Europees belang (oppervlakte  en areaal)	INBO	analyse	voorraad	ecosysteem
154	Oppervlaktewateren	staat van instandhouding van meren van Europees belang (ruimtelijke samenhang)	INBO	analyse	samenstelling	ecosysteem
155	Oppervlaktewateren	staat van instandhouding  van meren van Europees belang (habitattypische soorten)	INBO	analyse	structuur	ecosysteem
156	Oppervlaktewateren	staat van instandhouding  van rivieren van Europees belang (oppervlakte  en areaal)	INBO	analyse	voorraad	ecosysteem
157	Oppervlaktewateren	staat van instandhouding  van rivieren van Europees belang (ruimtelijke samenhang)	INBO	analyse	samenstelling	ecosysteem
158	Oppervlaktewateren	staat van instandhouding van rivieren van Europees belang (habitattypische soorten)	INBO	analyse	structuur	ecosysteem
159	Oppervlaktewateren	staat van instandhouding van estuaria van Europees belang (oppervlakte  en areaal)	INBO	analyse	voorraad	ecosysteem
160	Oppervlaktewateren	staat van instandhouding  van estuaria van Europees belang (ruimtelijke samenhang)	INBO	analyse	samenstelling	ecosysteem
161	Oppervlaktewateren	staat van instandhouding van estuaria van Europees belang (habitattypische soorten)	INBO	analyse	structuur	ecosysteem
162	Oppervlaktewateren	bioaccumulatie van PCB in paling	INBO	analyse	functies	soort
163	Oppervlaktewateren	natuurbescherming en -beheer bij oppervlaktewateren	INBO	analyse	voorraad	ecosysteem
164	Oppervlaktewateren	aandeel van oppervlaktewaterhabitat van Europees belang in habitatrichtlijngebied	INBO	analyse	voorraad	ecosysteem
165	Noordzee	habitatverlies  in de Belgische wateren in de periode 2011-2016	KBIN	indicator	voorraad	ecosysteem
166	Noordzee	habitatverstoring  in de Belgische wateren in de periode 2011-2016	KBIN	indicator	voorraad	ecosysteem
167	Noordzee	toestand van grindbedden in de Belgische wateren in de periode 2011-2016	KBIN	indicator	structuur	ecosysteem
168	Noordzee	toestand van benthische habitats in de Belgische wateren in de periode 2011-2016	KBIN	indicator	structuur	ecosysteem
169	Noordzee	aantal stekelroggen in de Belgische wateren in de periode 2011-2016	KBIN	indicator	voorraad	soort
170	Noordzee	aantal visdieven in de Belgische wateren in de periode 2011-2016	KBIN	indicator	voorraad	soort
171	Noordzee	trend niet-aasetende zeevogelsoorten  in de Belgische wateren in de periode 2011-2016	INBO	indicator	voorraad	soort
172	Noordzee	paaibiomassa van commerciële vissoorten in de Noordzee	ILVO	indicator	voorraad	ecosysteem
173	Noordzee	visserijsterfte van commerciële vissoorten in de Noodzee	ILVO	indicator	voorraad	ecosysteem
174	Noordzee	gestrande bruinvissen in de Belgische wateren	KBIN	indicator	voorraad	soort
175	Noordzee	concentraties van opgelost anorganisch fosfor in de Belgische wateren in de periode 2011-2016	KBIN	indicator	geen	geen
176	Noordzee	concentraties van opgelost anorganisch stikstof in de Belgische wateren in de periode 2011-2016	KBIN	indicator	geen	geen
177	Noordzee	chorofyl in de Belgische wateren in de periode 2011-2016	KBIN	analyse	functies	ecosysteem
178	Noordzee	buffercapaciteit van de Belgische wateren in de periode 2017-2019	VLIZ	indicator	geen	geen
179	Noordzee	zuurtegraad van de Belgische wateren in de periode 2017-2019	VLIZ	indicator	geen	geen
180	Noordzee	natuurbescherming & -beheer van de Noordzee	mariene_atlas	indicator	voorraad	ecosysteem
